dropout,batch_size,beta,lr,lambda_classif,n_epochs,mean_auc,mean_accuracy,mean_f1,mean_precision,mean_recall,trial_number
0.249816047538945,32,0.39643541684062933,2.9375384576328295e-05,2.1035886311957896,24,0.9953287476325846,0.9407684638938644,0.926623601365755,0.9194413239163943,0.9407684638938644,0
0.4329770563201687,32,0.6780602616231216,0.00037520558551242813,9.206955354200199,14,0.9970775282220423,0.9470551985933314,0.9318543382971878,0.9221768724041464,0.9470551985933314,1
0.28242799368681437,32,1.2255876808378807,1.3783237455007187e-05,12.54335218612733,20,0.9859841385131378,0.8970858736079842,0.8750987397708858,0.87477551839402,0.8970858736079842,2
0.2218455076693483,64,0.3318726462050797,0.0003058656666978527,1.6533819011891495,10,0.9982591544977998,0.9631038458799621,0.954378839538587,0.9517906425872404,0.9631038458799621,3
0.31868411173731187,64,1.8850479889719594,0.004835952776465951,12.360099597410617,10,0.9985413254209392,0.9713767877781978,0.9665767561027782,0.9655702506492828,0.9713767877781978,4
0.25547091587579285,64,0.6337755684060234,0.00042470585622618684,3.6775602745204905,18,0.9990259922089028,0.9746848963896604,0.9730085493808446,0.9751624270458794,0.9746848963896604,5
0.10220884684944097,32,1.565413658703297,1.667761543019792e-05,7.81084884234118,14,0.9950957959198927,0.9424224497285809,0.9330012599393174,0.9312716522891833,0.9424224497285809,6
0.2243929286862649,64,1.7857042108950205,0.00026100256506134784,3.272290672827732,20,0.9989376046613325,0.972699921669159,0.9701325953658021,0.9729200755043639,0.972699921669159,7
0.3090931317527976,32,0.15971545280479507,0.0008113929572637835,6.972763640450207,14,0.999125191009162,0.9741887554160573,0.9725730367975395,0.9752417541197328,0.9741887554160573,8
0.191519266196649,64,1.8664255394508888,0.002656813924114493,13.034671373698046,20,0.9991851455378786,0.9722041915216451,0.9686653533018073,0.9742510067467517,0.9722041915216451,9
0.11053447436300944,128,1.3020913593090406,0.007048031912598282,19.37825175149201,20,0.9984138892223091,0.9629400632124409,0.9602564931100733,0.96878938400056,0.9629400632124409,10
0.3737220382258284,128,0.7908771875706395,0.0017743412690959797,16.465137969179892,14,0.9986698820798072,0.9698868584950618,0.9628169291300954,0.9582145947568286,0.9698868584950618,11
0.1697495874748423,64,0.9981566126501025,0.0018362839120451822,7.053049654832366,24,0.9993960494934659,0.9730314583230626,0.9719364948491149,0.9736528517794241,0.9730314583230626,12
0.16779364718401382,64,1.0000975181942628,0.002357802341549107,14.303629777111615,24,0.9990249567587185,0.9731975690050888,0.971227890062768,0.9721877191182674,0.9731975690050888,13
0.17506057345999207,64,1.4912032226162646,0.00010675736963796113,5.844031364798914,24,0.9979580543159529,0.9692254284916109,0.9678007785385236,0.969310674038468,0.9692254284916109,14
0.16730203518374012,64,1.0441036598499227,0.0018809004996627678,10.444622478606197,18,0.9990795182231613,0.9740241510963579,0.9716838787537918,0.9722470862699542,0.9740241510963579,15
0.15090954910105375,128,1.635325465449612,0.009728613904848115,15.832711340928276,24,0.9987615795572381,0.9708807837466245,0.9688333028082996,0.9710001008578548,0.9708807837466245,16
0.20938610765792848,64,0.8683903294227603,0.0009486058845824526,12.011754939855228,20,0.9992805158813557,0.9761745517887368,0.9743205763343878,0.9762505644822598,0.9761745517887368,17
0.47502446374640905,64,0.8785305037157102,0.0007986804799561307,9.421927035185222,24,0.9978870582038712,0.9622761682524553,0.9522418015883428,0.9465690310835214,0.9622761682524553,18
0.3613792567614114,64,1.2510979700929494,8.564405649451959e-05,5.846084315064026,20,0.9928129682581653,0.9240575649516047,0.9036537010902924,0.8948985257711752,0.9240575649516047,19
0.13925064411541377,128,0.5904837363937017,0.0008734051506134381,17.54193202188685,18,0.9992318325759978,0.976505814558581,0.9752985147023153,0.9787555169739613,0.976505814558581,20
0.12182076845494194,128,0.5421989969165929,0.0008369169122621471,19.96065527808786,18,0.9993022123760141,0.9765047190223435,0.974866067825265,0.9776804477787641,0.9765047190223435,21
0.20513212535950442,128,0.46577623207178603,0.0013652973945860643,17.737276799099185,18,0.9994255461593895,0.9786567630190787,0.9780647493624093,0.9792956814086846,0.9786567630190787,22
0.13323311166010068,128,0.2871347270616518,0.0031152846873975485,19.69628617968499,18,0.9987697987964536,0.9723678372471365,0.9727610380869163,0.9760551925405242,0.9723678372471365,23
0.11728033981639246,128,0.5014685817084855,0.0013830913353456158,18.25810723932914,18,0.9991470508968934,0.9748510070716865,0.9727594825740337,0.973862783345972,0.9748510070716865,24
0.19308245291866893,128,0.169109567276594,0.00017531600753247306,15.663408713222799,18,0.9981699281523133,0.9655853724001554,0.9623522175724663,0.9644523149879172,0.9655853724001554,25
0.2705050249168712,128,0.4464988842772259,0.004046300871922788,14.385915305813231,18,0.999084525049273,0.96988768014724,0.9694829786086853,0.9730123693140234,0.96988768014724,26
0.23931669714688697,128,0.742001991805521,0.0006045735330317075,17.767485258008726,18,0.99907663405216,0.9740237402702687,0.9720186469297343,0.9739400518171154,0.9740237402702687,27
0.14451346838704685,128,0.5462022998326568,0.0013562180640523886,19.879485077584466,10,0.999005962067789,0.974024151096358,0.9723238557493967,0.9730422003782362,0.974024151096358,28
0.19628310444410213,128,0.3606265405516095,6.992934972302674e-05,4.122529397997213,24,0.996173197537073,0.9551620298095411,0.948786596516128,0.9488354983619646,0.9551620298095411,29
0.34321572286423885,128,1.1460218574669447,4.49720645792078e-05,18.348845505511644,24,0.9847450998839345,0.8977512749302965,0.8702951757960825,0.8611587189109606,0.8977512749302965,30
0.2137263318549171,64,0.850161375404837,0.0011512865237799364,10.982929271872454,20,0.9992561701808883,0.9722032329274372,0.9715674140403451,0.9774624889722409,0.9722032329274372,31
0.24037465990437495,32,0.8656734420495579,0.0005423300813987935,8.054709944845602,18,0.9994223405220957,0.9738573557041832,0.9746729980520419,0.9786001949663288,0.9738573557041832,32
0.24801949607564633,32,0.6909877141314558,0.0004759972191122242,8.223079152611506,18,0.999271994351752,0.9735273254126063,0.9731202049085577,0.9754503904869074,0.9735273254126063,33
0.27131917435064906,32,0.9607998772152839,0.00020242529836217305,5.417221570122443,18,0.998553236781871,0.9702175734967874,0.9664853157621603,0.9691242691923107,0.9702175734967874,34
0.17117711613981615,32,1.124044233008189,0.0006316490224812812,9.294855820021846,18,0.9992440117476893,0.96790215765862,0.9667028553818128,0.9751899372296162,0.96790215765862,35
0.2328329155964622,32,0.4131697864088909,0.0003379082134500207,7.4534369715654885,10,0.9988014819802208,0.9662470762876658,0.9617672206072638,0.9665482980963235,0.9662470762876658,36
0.12423220601795026,32,1.3809989047064395,0.004595467652557532,10.28756150433999,18,0.9976207326808412,0.9566488094259938,0.9555030711617712,0.9617183297001318,0.9566488094259938,37
0.2906065866504907,32,0.6478339117644804,0.0005781001028132936,2.510985777867468,18,0.9992372519906633,0.9735275992966658,0.9727624990390872,0.973598521290987,0.9735275992966658,38
0.15587073805265828,32,0.24446853471228808,0.0018531905724807859,1.1966203404128315,14,0.9988881113083512,0.9680675836304975,0.963799831333772,0.966398940502898,0.9680675836304975,39
0.18388613504311221,128,0.9280817740218719,0.00024821305793777014,4.706439942587371,10,0.9973854879839177,0.9568169742384655,0.9475170670281227,0.9452534118700306,0.9568169742384655,40
0.2015489622429825,64,0.7954984956723052,0.0010356409510316475,6.725809270584098,20,0.9993784429825254,0.9770020924742138,0.9750860338664215,0.9773371109455663,0.9770020924742138,41
0.20595602497929505,64,0.7680633351179009,0.00044950630476824175,6.583939353963609,20,0.9991270382421644,0.9781599373353271,0.9775979589401989,0.9783250836832525,0.9781599373353271,42
